GeneID1	GeneID2	PCC_severe	feature_type	PCC_severe_abs
unknown RT 4.081766	unknown RT 4.081766	1	metabolite-metabolite	1
unknown RT 4.148561	unknown RT 4.148561	1	metabolite-metabolite	1
unknown RT 5.261918	unknown RT 5.261918	1	metabolite-metabolite	1
unknown RT 5.349937	unknown RT 5.349937	1	metabolite-metabolite	1
unknown RT 7.600111	unknown RT 5.349937	0.803018171846811	metabolite-metabolite	0.803018171846811
unknown RT 11.284935	unknown RT 5.349937	0.855268288066499	metabolite-metabolite	0.855268288066499
unknown RT 11.546791	unknown RT 5.349937	0.576797873975557	metabolite-metabolite	0.576797873975557
Sugar RT12.311732	unknown RT 5.349937	0.83657786017333	metabolite-metabolite	0.83657786017333
Sugar RT12.405521	unknown RT 5.349937	0.877585533428528	metabolite-metabolite	0.877585533428528
Creatinine, 3TMS Derivative RT12.941566	unknown RT 5.349937	0.647041674722574	metabolite-metabolite	0.647041674722574
unknown RT 14.104802	unknown RT 5.349937	0.784010750927063	metabolite-metabolite	0.784010750927063
Sugar RT14.65062	unknown RT 5.349937	0.854564287775483	metabolite-metabolite	0.854564287775483
Quinolinic acid, bis(trimethylsilyl) ester RT14.717184	unknown RT 5.349937	0.76395068860222	metabolite-metabolite	0.76395068860222
unknown RT 16.698449	unknown RT 5.349937	0.823689974385624	metabolite-metabolite	0.823689974385624
unknown RT 16.995233	unknown RT 5.349937	0.770500344279965	metabolite-metabolite	0.770500344279965
Pseudo uridine penta-tms RT19.994184	unknown RT 5.349937	0.800426137535031	metabolite-metabolite	0.800426137535031
unknown RT 5.462593	unknown RT 5.462593	1	metabolite-metabolite	1
1,2-Propanediol, 2TMS derivative RT5.872253	1,2-Propanediol, 2TMS derivative RT5.872253	1	metabolite-metabolite	1
Propanoic acid, 2-(methoxyimino)- RT6.55182	Propanoic acid, 2-(methoxyimino)- RT6.55182	1	metabolite-metabolite	1
unknown RT 7.034156	unknown RT 7.034156	1	metabolite-metabolite	1
unknown RT 17.941004	unknown RT 7.034156	0.7932064180872	metabolite-metabolite	0.7932064180872
unknown RT 18.973435	unknown RT 7.034156	0.913673221593962	metabolite-metabolite	0.913673221593962
unknown RT 5.349937	unknown RT 7.600111	0.803018171846811	metabolite-metabolite	0.803018171846811
unknown RT 7.600111	unknown RT 7.600111	1	metabolite-metabolite	1
Sugar RT14.65062	unknown RT 7.600111	0.750664446669783	metabolite-metabolite	0.750664446669783
