GeneID1	GeneID2	PCC_moderate	feature_type	PCC_moderate_abs
F2	AMBP	0.282007893585837	protein-protein	0.282007893585837
AGT	F2	-0.103088604556853	protein-protein	0.103088604556853
ALB	AGT	-0.486474193783137	protein-protein	0.486474193783137
F7	FCN2	-0.269233300126571	protein-protein	0.269233300126571
F2	AMBP	0.282007893585837	protein-protein	0.282007893585837
F2	ANPEP	0.233873818806834	protein-protein	0.233873818806834
AGT	F2	-0.103088604556853	protein-protein	0.103088604556853
APOE	AMBP	-0.52514177458618	protein-protein	0.52514177458618
APOE	F2	0.106063015280254	protein-protein	0.106063015280254
ALB	AMBP	-0.393719808578556	protein-protein	0.393719808578556
ALB	AGT	-0.486474193783137	protein-protein	0.486474193783137
APOC2	F2	-0.210813296523246	protein-protein	0.210813296523246
APOC2	ALB	-0.265284788610587	protein-protein	0.265284788610587
APOC2	F2	-0.210813296523246	protein-protein	0.210813296523246
F2	AMBP	0.282007893585837	protein-protein	0.282007893585837
APOE	AGT	0.198715362867874	protein-protein	0.198715362867874
FCN2	F2	-0.187776368287601	protein-protein	0.187776368287601
APOC2	F2	-0.210813296523246	protein-protein	0.210813296523246
F7	F2	0.181626264837367	protein-protein	0.181626264837367
ELANE	AGT	0.382182394446837	protein-protein	0.382182394446837
F2	ANPEP	0.233873818806834	protein-protein	0.233873818806834
APOE	ANPEP	0.303751300694007	protein-protein	0.303751300694007
APOE	F2	0.106063015280254	protein-protein	0.106063015280254
ALB	ANPEP	-0.141602011906418	protein-protein	0.141602011906418
ALB	AGT	-0.486474193783137	protein-protein	0.486474193783137
APOC2	AGT	0.586867833919063	protein-protein	0.586867833919063
F2	AMBP	0.282007893585837	protein-protein	0.282007893585837
FCN2	F2	-0.187776368287601	protein-protein	0.187776368287601
ICAM1	APOE	-0.164866791047627	protein-protein	0.164866791047627
F2	AMBP	0.282007893585837	protein-protein	0.282007893585837
AGT	F2	-0.103088604556853	protein-protein	0.103088604556853
F7	F2	0.181626264837367	protein-protein	0.181626264837367
APOE	AMBP	-0.52514177458618	protein-protein	0.52514177458618
APOE	AGT	0.198715362867874	protein-protein	0.198715362867874
ALB	AMBP	-0.393719808578556	protein-protein	0.393719808578556
APOC2	AGT	0.586867833919063	protein-protein	0.586867833919063
APOC2	ALB	-0.265284788610587	protein-protein	0.265284788610587
F7	AMBP	0.336448918888581	protein-protein	0.336448918888581
F7	APOC2	-0.20429307065559	protein-protein	0.20429307065559
APOE	AMBP	-0.52514177458618	protein-protein	0.52514177458618
ALB	AMBP	-0.393719808578556	protein-protein	0.393719808578556
ELANE	FCN2	-0.331863477645557	protein-protein	0.331863477645557
APOC2	AGT	0.586867833919063	protein-protein	0.586867833919063
APOC2	ALB	-0.265284788610587	protein-protein	0.265284788610587
F7	AMBP	0.336448918888581	protein-protein	0.336448918888581
ALB	AMBP	-0.393719808578556	protein-protein	0.393719808578556
ALB	APOE	0.267502695896613	protein-protein	0.267502695896613
APOC2	ALB	-0.265284788610587	protein-protein	0.265284788610587
AGT	ANPEP	0.126039315838799	protein-protein	0.126039315838799
AGT	F2	-0.103088604556853	protein-protein	0.103088604556853
F7	F2	0.181626264837367	protein-protein	0.181626264837367
AGT	ANPEP	0.126039315838799	protein-protein	0.126039315838799
AGT	F2	-0.103088604556853	protein-protein	0.103088604556853
F7	F2	0.181626264837367	protein-protein	0.181626264837367
ALB	AMBP	-0.393719808578556	protein-protein	0.393719808578556
F2	AMBP	0.282007893585837	protein-protein	0.282007893585837
ALB	AMBP	-0.393719808578556	protein-protein	0.393719808578556
F7	F2	0.181626264837367	protein-protein	0.181626264837367
F7	ELANE	0.1560944841212	protein-protein	0.1560944841212
MB	LTF	0.17442765468865	protein-protein	0.17442765468865
HLA-C	LTF	0.391824241166781	protein-protein	0.391824241166781
TTR	PLG	0.397807118738209	protein-protein	0.397807118738209
NCAM1	PROS1	0.354129664909536	protein-protein	0.354129664909536
KNG1	PLG	-0.246724833855666	protein-protein	0.246724833855666
KNG1	TTR	0.218231450743891	protein-protein	0.218231450743891
SERPINF2	TTR	-0.134412416876992	protein-protein	0.134412416876992
F10	PLG	0.308348665718047	protein-protein	0.308348665718047
F10	KNG1	-0.131132467259492	protein-protein	0.131132467259492
HLA-A	LTF	-0.350113089849854	protein-protein	0.350113089849854
HLA-A	MB	-0.32609407989017	protein-protein	0.32609407989017
HLA-A	HLA-C	-0.108563298040189	protein-protein	0.108563298040189
SERPINA5	TTR	0.676954388762506	protein-protein	0.676954388762506
B2M	LTF	0.317260448825136	protein-protein	0.317260448825136
B2M	MB	0.318176156307779	protein-protein	0.318176156307779
B2M	HLA-C	0.395646613543983	protein-protein	0.395646613543983
B2M	HLA-A	-0.123949219165593	protein-protein	0.123949219165593
C4BPB	C5	0.231550954774778	protein-protein	0.231550954774778
C4BPB	B2M	-0.305118515137218	protein-protein	0.305118515137218
HLA-C	HLA-B	0.255883317220594	protein-protein	0.255883317220594
HLA-A	HLA-B	0.204979490682564	protein-protein	0.204979490682564
HLA-A	HLA-C	-0.108563298040189	protein-protein	0.108563298040189
B2M	HLA-B	0.470259382758624	protein-protein	0.470259382758624
B2M	HLA-C	0.395646613543983	protein-protein	0.395646613543983
B2M	HLA-A	-0.123949219165593	protein-protein	0.123949219165593
LYZ	VWF	0.270611196512451	protein-protein	0.270611196512451
PLG	C3	0.222827664794755	protein-protein	0.222827664794755
HLA-C	HLA-B	0.255883317220594	protein-protein	0.255883317220594
TTR	C3	0.200706120258655	protein-protein	0.200706120258655
TTR	PLG	0.397807118738209	protein-protein	0.397807118738209
KNG1	PLG	-0.246724833855666	protein-protein	0.246724833855666
KNG1	TTR	0.218231450743891	protein-protein	0.218231450743891
F10	SERPINF2	0.409230305933443	protein-protein	0.409230305933443
HLA-A	HLA-B	0.204979490682564	protein-protein	0.204979490682564
HLA-A	HLA-C	-0.108563298040189	protein-protein	0.108563298040189
C5	C3	0.146281596820218	protein-protein	0.146281596820218
C5	PLG	0.26206127271961	protein-protein	0.26206127271961
C5	TTR	0.147341828076358	protein-protein	0.147341828076358
C5	SERPINF2	0.432577161708663	protein-protein	0.432577161708663
CD14	SERPINF2	0.231223102247419	protein-protein	0.231223102247419
B2M	HLA-B	0.470259382758624	protein-protein	0.470259382758624
B2M	HLA-C	0.395646613543983	protein-protein	0.395646613543983
B2M	HLA-A	-0.123949219165593	protein-protein	0.123949219165593
B2M	CD14	0.51270711697493	protein-protein	0.51270711697493
AGT	C5	0.289335307855075	protein-protein	0.289335307855075
C4BPB	C5	0.231550954774778	protein-protein	0.231550954774778
B2M	HLA-A	-0.123949219165593	protein-protein	0.123949219165593
LYZ	B2M	0.689253722005616	protein-protein	0.689253722005616
HLA-C	HLA-B	0.255883317220594	protein-protein	0.255883317220594
HLA-A	HLA-B	0.204979490682564	protein-protein	0.204979490682564
HLA-A	C3	-0.164614260200246	protein-protein	0.164614260200246
HLA-A	HLA-C	-0.108563298040189	protein-protein	0.108563298040189
B2M	HLA-A	-0.123949219165593	protein-protein	0.123949219165593
HLA-C	HLA-B	0.255883317220594	protein-protein	0.255883317220594
NCAM1	MB	0.283278192392318	protein-protein	0.283278192392318
KNG1	PLG	-0.246724833855666	protein-protein	0.246724833855666
F10	PROS1	-0.188746071303503	protein-protein	0.188746071303503
HLA-A	HLA-B	0.204979490682564	protein-protein	0.204979490682564
HLA-A	HLA-C	-0.108563298040189	protein-protein	0.108563298040189
C5	PLG	0.26206127271961	protein-protein	0.26206127271961
C5	SERPINF2	0.432577161708663	protein-protein	0.432577161708663
B2M	HLA-B	0.470259382758624	protein-protein	0.470259382758624
B2M	HLA-C	0.395646613543983	protein-protein	0.395646613543983
B2M	HLA-A	-0.123949219165593	protein-protein	0.123949219165593
AGT	PROS1	-0.133676700299405	protein-protein	0.133676700299405
AGT	SERPINF2	0.597935519885441	protein-protein	0.597935519885441
AGT	C5	0.289335307855075	protein-protein	0.289335307855075
C4BPB	C3	0.290550787850688	protein-protein	0.290550787850688
C4BPB	C5	0.231550954774778	protein-protein	0.231550954774778
HLA-A	HLA-B	0.204979490682564	protein-protein	0.204979490682564
HLA-A	HLA-C	-0.108563298040189	protein-protein	0.108563298040189
B2M	HLA-B	0.470259382758624	protein-protein	0.470259382758624
B2M	HLA-A	-0.123949219165593	protein-protein	0.123949219165593
F10	KNG1	-0.131132467259492	protein-protein	0.131132467259492
F10	SERPINF2	0.409230305933443	protein-protein	0.409230305933443
B2M	HLA-A	-0.123949219165593	protein-protein	0.123949219165593
LYZ	FCGR3A	-0.337814842091544	protein-protein	0.337814842091544
FCGR3A	PROS1	-0.33281516081211	protein-protein	0.33281516081211
CD14	FCGR3A	-0.371737826168478	protein-protein	0.371737826168478
B2M	HLA-A	-0.123949219165593	protein-protein	0.123949219165593
LYZ	PROS1	-0.23962587311289	protein-protein	0.23962587311289
LYZ	FCGR3A	-0.337814842091544	protein-protein	0.337814842091544
VWF	PROS1	-0.265139913026255	protein-protein	0.265139913026255
CD14	FCGR3A	-0.371737826168478	protein-protein	0.371737826168478
B2M	HLA-A	-0.123949219165593	protein-protein	0.123949219165593
LYZ	FCGR3A	-0.337814842091544	protein-protein	0.337814842091544
LYZ	CD14	0.470984634361559	protein-protein	0.470984634361559
LYZ	B2M	0.689253722005616	protein-protein	0.689253722005616
C3	PROS1	0.228383655827631	protein-protein	0.228383655827631
PLG	C3	0.222827664794755	protein-protein	0.222827664794755
HLA-C	HLA-B	0.255883317220594	protein-protein	0.255883317220594
KNG1	PLG	-0.246724833855666	protein-protein	0.246724833855666
F10	PLG	0.308348665718047	protein-protein	0.308348665718047
F10	KNG1	-0.131132467259492	protein-protein	0.131132467259492
HLA-A	HLA-B	0.204979490682564	protein-protein	0.204979490682564
HLA-A	HLA-C	-0.108563298040189	protein-protein	0.108563298040189
C5	C3	0.146281596820218	protein-protein	0.146281596820218
C5	PLG	0.26206127271961	protein-protein	0.26206127271961
CD14	SERPINF2	0.231223102247419	protein-protein	0.231223102247419
B2M	HLA-B	0.470259382758624	protein-protein	0.470259382758624
B2M	HLA-C	0.395646613543983	protein-protein	0.395646613543983
B2M	HLA-A	-0.123949219165593	protein-protein	0.123949219165593
AGT	KNG1	-0.345623819968167	protein-protein	0.345623819968167
C4BPB	C3	0.290550787850688	protein-protein	0.290550787850688
HLA-C	HLA-B	0.255883317220594	protein-protein	0.255883317220594
KNG1	HLA-B	-0.22226958881626	protein-protein	0.22226958881626
HLA-A	HLA-B	0.204979490682564	protein-protein	0.204979490682564
HLA-A	HLA-C	-0.108563298040189	protein-protein	0.108563298040189
CD14	HLA-C	0.325838660449254	protein-protein	0.325838660449254
B2M	HLA-C	0.395646613543983	protein-protein	0.395646613543983
B2M	HSPA5	0.154884247452728	protein-protein	0.154884247452728
B2M	HLA-A	-0.123949219165593	protein-protein	0.123949219165593
LYZ	VWF	0.270611196512451	protein-protein	0.270611196512451
SERPINF2	HLA-C	0.186313357344513	protein-protein	0.186313357344513
VWF	PROS1	-0.265139913026255	protein-protein	0.265139913026255
VWF	C3	-0.195430224658615	protein-protein	0.195430224658615
CD14	HLA-C	0.325838660449254	protein-protein	0.325838660449254
B2M	HLA-A	-0.123949219165593	protein-protein	0.123949219165593
AGT	PROS1	-0.133676700299405	protein-protein	0.133676700299405
C3	HLA-B	-0.398203296356749	protein-protein	0.398203296356749
HLA-C	HLA-B	0.255883317220594	protein-protein	0.255883317220594
KNG1	TTR	0.218231450743891	protein-protein	0.218231450743891
SERPINF2	KNG1	-0.191397564936313	protein-protein	0.191397564936313
F10	SERPINF2	0.409230305933443	protein-protein	0.409230305933443
HLA-A	HLA-B	0.204979490682564	protein-protein	0.204979490682564
HLA-A	C3	-0.164614260200246	protein-protein	0.164614260200246
HLA-A	HLA-C	-0.108563298040189	protein-protein	0.108563298040189
SERPINA5	TTR	0.676954388762506	protein-protein	0.676954388762506
LYZ	HLA-B	0.253864381276131	protein-protein	0.253864381276131
LYZ	C4BPB	-0.228420222445878	protein-protein	0.228420222445878
MB	LTF	0.17442765468865	protein-protein	0.17442765468865
HLA-A	HLA-C	-0.108563298040189	protein-protein	0.108563298040189
SERPINA5	LTF	0.318776776027304	protein-protein	0.318776776027304
CD14	FCGR3A	-0.371737826168478	protein-protein	0.371737826168478
B2M	HLA-C	0.395646613543983	protein-protein	0.395646613543983
B2M	HLA-A	-0.123949219165593	protein-protein	0.123949219165593
LYZ	FCGR3A	-0.337814842091544	protein-protein	0.337814842091544
LYZ	MB	0.110398907138606	protein-protein	0.110398907138606
LYZ	HLA-C	0.191559943001945	protein-protein	0.191559943001945
LYZ	CD14	0.470984634361559	protein-protein	0.470984634361559
VWF	C3	-0.195430224658615	protein-protein	0.195430224658615
C4BPB	FCGR3A	-0.16787515506395	protein-protein	0.16787515506395
HLA-C	HLA-B	0.255883317220594	protein-protein	0.255883317220594
HLA-A	HLA-B	0.204979490682564	protein-protein	0.204979490682564
HLA-A	HLA-C	-0.108563298040189	protein-protein	0.108563298040189
B2M	HLA-B	0.470259382758624	protein-protein	0.470259382758624
B2M	HLA-C	0.395646613543983	protein-protein	0.395646613543983
B2M	HLA-A	-0.123949219165593	protein-protein	0.123949219165593
C4BPB	HSPA5	-0.303808342106901	protein-protein	0.303808342106901
VWF	F10	-0.347216816424743	protein-protein	0.347216816424743
HLA-A	HLA-C	-0.108563298040189	protein-protein	0.108563298040189
B2M	HLA-C	0.395646613543983	protein-protein	0.395646613543983
B2M	HLA-A	-0.123949219165593	protein-protein	0.123949219165593
HLA-C	HLA-B	0.255883317220594	protein-protein	0.255883317220594
KNG1	PLG	-0.246724833855666	protein-protein	0.246724833855666
SERPINF2	KNG1	-0.191397564936313	protein-protein	0.191397564936313
HLA-A	HLA-B	0.204979490682564	protein-protein	0.204979490682564
HLA-A	HLA-C	-0.108563298040189	protein-protein	0.108563298040189
C5	C3	0.146281596820218	protein-protein	0.146281596820218
C5	PLG	0.26206127271961	protein-protein	0.26206127271961
C5	TTR	0.147341828076358	protein-protein	0.147341828076358
B2M	HLA-B	0.470259382758624	protein-protein	0.470259382758624
B2M	HLA-C	0.395646613543983	protein-protein	0.395646613543983
B2M	HLA-A	-0.123949219165593	protein-protein	0.123949219165593
C4BPB	C5	0.231550954774778	protein-protein	0.231550954774778
SERPINF2	C3	-0.169978098502037	protein-protein	0.169978098502037
SERPINF2	KNG1	-0.191397564936313	protein-protein	0.191397564936313
F10	C3	-0.152184320578995	protein-protein	0.152184320578995
F10	SERPINF2	0.409230305933443	protein-protein	0.409230305933443
SERPINA5	KNG1	0.13056799289438	protein-protein	0.13056799289438
C5	C3	0.146281596820218	protein-protein	0.146281596820218
C5	SERPINF2	0.432577161708663	protein-protein	0.432577161708663
CD14	FCGR3A	-0.371737826168478	protein-protein	0.371737826168478
CD14	SERPINF2	0.231223102247419	protein-protein	0.231223102247419
CD14	SERPINA5	-0.204694981539078	protein-protein	0.204694981539078
AGT	SERPINF2	0.597935519885441	protein-protein	0.597935519885441
C4BPB	C3	0.290550787850688	protein-protein	0.290550787850688
C4BPB	F10	-0.445235733253733	protein-protein	0.445235733253733
PLG	C3	0.222827664794755	protein-protein	0.222827664794755
KNG1	PLG	-0.246724833855666	protein-protein	0.246724833855666
KNG1	TTR	0.218231450743891	protein-protein	0.218231450743891
F10	C3	-0.152184320578995	protein-protein	0.152184320578995
F10	PLG	0.308348665718047	protein-protein	0.308348665718047
C5	C3	0.146281596820218	protein-protein	0.146281596820218
AGT	C5	0.289335307855075	protein-protein	0.289335307855075
HLA-C	C3	0.104632493586682	protein-protein	0.104632493586682
HLA-A	LTF	-0.350113089849854	protein-protein	0.350113089849854
C5	PLG	0.26206127271961	protein-protein	0.26206127271961
C5	MB	-0.126702651488164	protein-protein	0.126702651488164
CD14	HLA-C	0.325838660449254	protein-protein	0.325838660449254
PLG	C3	0.222827664794755	protein-protein	0.222827664794755
SERPINA5	PROS1	-0.398153141318892	protein-protein	0.398153141318892
C5	C3	0.146281596820218	protein-protein	0.146281596820218
B2M	HLA-B	0.470259382758624	protein-protein	0.470259382758624
B2M	HLA-C	0.395646613543983	protein-protein	0.395646613543983
B2M	HLA-A	-0.123949219165593	protein-protein	0.123949219165593
B2M	HLA-B	0.470259382758624	protein-protein	0.470259382758624
B2M	HLA-C	0.395646613543983	protein-protein	0.395646613543983
B2M	HLA-A	-0.123949219165593	protein-protein	0.123949219165593
HLA-C	HLA-B	0.255883317220594	protein-protein	0.255883317220594
HLA-A	HLA-B	0.204979490682564	protein-protein	0.204979490682564
HLA-A	HLA-C	-0.108563298040189	protein-protein	0.108563298040189
B2M	HLA-B	0.470259382758624	protein-protein	0.470259382758624
B2M	HLA-C	0.395646613543983	protein-protein	0.395646613543983
C4BPB	PROS1	0.872360553264153	protein-protein	0.872360553264153
VWF	F10	-0.347216816424743	protein-protein	0.347216816424743
C5	C3	0.146281596820218	protein-protein	0.146281596820218
B2M	HLA-B	0.470259382758624	protein-protein	0.470259382758624
B2M	HLA-C	0.395646613543983	protein-protein	0.395646613543983
B2M	HLA-A	-0.123949219165593	protein-protein	0.123949219165593
AGT	KNG1	-0.345623819968167	protein-protein	0.345623819968167
AGT	C5	0.289335307855075	protein-protein	0.289335307855075
C4BPB	PROS1	0.872360553264153	protein-protein	0.872360553264153
VWF	F10	-0.347216816424743	protein-protein	0.347216816424743
C5	C3	0.146281596820218	protein-protein	0.146281596820218
B2M	HLA-B	0.470259382758624	protein-protein	0.470259382758624
B2M	HLA-C	0.395646613543983	protein-protein	0.395646613543983
B2M	HLA-A	-0.123949219165593	protein-protein	0.123949219165593
AGT	KNG1	-0.345623819968167	protein-protein	0.345623819968167
AGT	C5	0.289335307855075	protein-protein	0.289335307855075
C4BPB	PROS1	0.872360553264153	protein-protein	0.872360553264153
B2M	HLA-B	0.470259382758624	protein-protein	0.470259382758624
HLA-B	HBA1	-0.126943800533039	protein-protein	0.126943800533039
HLA-C	HLA-B	0.255883317220594	protein-protein	0.255883317220594
HLA-A	HLA-B	0.204979490682564	protein-protein	0.204979490682564
HLA-A	HLA-C	-0.108563298040189	protein-protein	0.108563298040189
HLA-C	HLA-B	0.255883317220594	protein-protein	0.255883317220594
HLA-A	HLA-B	0.204979490682564	protein-protein	0.204979490682564
HLA-A	HLA-C	-0.108563298040189	protein-protein	0.108563298040189
B2M	HLA-B	0.470259382758624	protein-protein	0.470259382758624
B2M	HLA-C	0.395646613543983	protein-protein	0.395646613543983
AGT	HSPA5	0.586201212245999	protein-protein	0.586201212245999
C4BPB	PROS1	0.872360553264153	protein-protein	0.872360553264153
B2M	HLA-B	0.470259382758624	protein-protein	0.470259382758624
B2M	HLA-B	0.470259382758624	protein-protein	0.470259382758624
HLA-C	HLA-B	0.255883317220594	protein-protein	0.255883317220594
KNG1	PLG	-0.246724833855666	protein-protein	0.246724833855666
F10	PLG	0.308348665718047	protein-protein	0.308348665718047
VWF	HSPA5	0.214543073911014	protein-protein	0.214543073911014
B2M	HLA-B	0.470259382758624	protein-protein	0.470259382758624
B2M	HLA-C	0.395646613543983	protein-protein	0.395646613543983
AGT	HSPA5	0.586201212245999	protein-protein	0.586201212245999
C4BPB	PROS1	0.872360553264153	protein-protein	0.872360553264153
KNG1	PLG	-0.246724833855666	protein-protein	0.246724833855666
F10	PROS1	-0.188746071303503	protein-protein	0.188746071303503
F10	PLG	0.308348665718047	protein-protein	0.308348665718047
AGT	KNG1	-0.345623819968167	protein-protein	0.345623819968167
C4BPB	PROS1	0.872360553264153	protein-protein	0.872360553264153
HSPA5	NCAM1	-0.285842941417485	protein-protein	0.285842941417485
MB	HBA1	-0.110867654151787	protein-protein	0.110867654151787
HLA-C	HLA-B	0.255883317220594	protein-protein	0.255883317220594
F10	PROS1	-0.188746071303503	protein-protein	0.188746071303503
HLA-A	HLA-B	0.204979490682564	protein-protein	0.204979490682564
HLA-A	HLA-C	-0.108563298040189	protein-protein	0.108563298040189
C5	C3	0.146281596820218	protein-protein	0.146281596820218
B2M	HLA-B	0.470259382758624	protein-protein	0.470259382758624
B2M	HLA-C	0.395646613543983	protein-protein	0.395646613543983
B2M	HLA-A	-0.123949219165593	protein-protein	0.123949219165593
AGT	SERPINF2	0.597935519885441	protein-protein	0.597935519885441
SERPINA3	A1BG	0.336822215102899	protein-protein	0.336822215102899
ANG	A1BG	-0.260855584681999	protein-protein	0.260855584681999
PROC	A1BG	0.142236165969961	protein-protein	0.142236165969961
ICAM1	SERPINE1	0.222573926502497	protein-protein	0.222573926502497
SERPINA3	A1BG	0.336822215102899	protein-protein	0.336822215102899
SERPINA3	SAA1	0.379586769005394	protein-protein	0.379586769005394
PROC	ANG	0.192309560901408	protein-protein	0.192309560901408
