GeneID1	GeneID2	PCC_mild	feature_type	PCC_mild_abs
unknown RT 4.081766	unknown RT 4.081766	1	metabolite-metabolite	1
unknown RT 4.148561	unknown RT 4.148561	1	metabolite-metabolite	1
unknown RT 5.261918	unknown RT 5.261918	1	metabolite-metabolite	1
unknown RT 5.349937	unknown RT 5.349937	1	metabolite-metabolite	1
unknown RT 7.600111	unknown RT 5.349937	0.803694988209235	metabolite-metabolite	0.803694988209235
unknown RT 11.284935	unknown RT 5.349937	0.615496115652039	metabolite-metabolite	0.615496115652039
unknown RT 11.546791	unknown RT 5.349937	0.728871829705554	metabolite-metabolite	0.728871829705554
Sugar RT12.311732	unknown RT 5.349937	0.695916063478267	metabolite-metabolite	0.695916063478267
Sugar RT12.405521	unknown RT 5.349937	0.657989451522835	metabolite-metabolite	0.657989451522835
Creatinine, 3TMS Derivative RT12.941566	unknown RT 5.349937	0.70692438657228	metabolite-metabolite	0.70692438657228
unknown RT 14.104802	unknown RT 5.349937	0.684309022553941	metabolite-metabolite	0.684309022553941
Sugar RT14.65062	unknown RT 5.349937	0.725874149950869	metabolite-metabolite	0.725874149950869
Quinolinic acid, bis(trimethylsilyl) ester RT14.717184	unknown RT 5.349937	0.670571133093941	metabolite-metabolite	0.670571133093941
unknown RT 16.698449	unknown RT 5.349937	0.70351677958291	metabolite-metabolite	0.70351677958291
unknown RT 16.995233	unknown RT 5.349937	0.730651844981077	metabolite-metabolite	0.730651844981077
Pseudo uridine penta-tms RT19.994184	unknown RT 5.349937	0.659758136162785	metabolite-metabolite	0.659758136162785
unknown RT 5.462593	unknown RT 5.462593	1	metabolite-metabolite	1
1,2-Propanediol, 2TMS derivative RT5.872253	1,2-Propanediol, 2TMS derivative RT5.872253	1	metabolite-metabolite	1
Propanoic acid, 2-(methoxyimino)- RT6.55182	Propanoic acid, 2-(methoxyimino)- RT6.55182	1	metabolite-metabolite	1
unknown RT 7.034156	unknown RT 7.034156	1	metabolite-metabolite	1
unknown RT 17.941004	unknown RT 7.034156	0.749787891791583	metabolite-metabolite	0.749787891791583
unknown RT 18.973435	unknown RT 7.034156	0.644791054582387	metabolite-metabolite	0.644791054582387
unknown RT 5.349937	unknown RT 7.600111	0.803694988209235	metabolite-metabolite	0.803694988209235
unknown RT 7.600111	unknown RT 7.600111	1	metabolite-metabolite	1
Sugar RT14.65062	unknown RT 7.600111	0.591656816109137	metabolite-metabolite	0.591656816109137
