GeneID1	GeneID2	PCC_moderate	feature_type	PCC_moderate_abs
unknown RT 4.081766	unknown RT 4.081766	1	metabolite-metabolite	1
unknown RT 4.148561	unknown RT 4.148561	1	metabolite-metabolite	1
unknown RT 5.261918	unknown RT 5.261918	1	metabolite-metabolite	1
unknown RT 5.349937	unknown RT 5.349937	1	metabolite-metabolite	1
unknown RT 7.600111	unknown RT 5.349937	0.883093832310466	metabolite-metabolite	0.883093832310466
unknown RT 11.284935	unknown RT 5.349937	0.75408079167928	metabolite-metabolite	0.75408079167928
unknown RT 11.546791	unknown RT 5.349937	0.824273769304707	metabolite-metabolite	0.824273769304707
Sugar RT12.311732	unknown RT 5.349937	0.858086606298352	metabolite-metabolite	0.858086606298352
Sugar RT12.405521	unknown RT 5.349937	0.822073325643569	metabolite-metabolite	0.822073325643569
Creatinine, 3TMS Derivative RT12.941566	unknown RT 5.349937	0.764739212653706	metabolite-metabolite	0.764739212653706
unknown RT 14.104802	unknown RT 5.349937	0.692079226639497	metabolite-metabolite	0.692079226639497
Sugar RT14.65062	unknown RT 5.349937	0.900130417232452	metabolite-metabolite	0.900130417232452
Quinolinic acid, bis(trimethylsilyl) ester RT14.717184	unknown RT 5.349937	0.78893589405429	metabolite-metabolite	0.78893589405429
unknown RT 16.698449	unknown RT 5.349937	0.783791553561862	metabolite-metabolite	0.783791553561862
unknown RT 16.995233	unknown RT 5.349937	0.846420740536361	metabolite-metabolite	0.846420740536361
Pseudo uridine penta-tms RT19.994184	unknown RT 5.349937	0.896486866619674	metabolite-metabolite	0.896486866619674
unknown RT 5.462593	unknown RT 5.462593	1	metabolite-metabolite	1
1,2-Propanediol, 2TMS derivative RT5.872253	1,2-Propanediol, 2TMS derivative RT5.872253	1	metabolite-metabolite	1
Propanoic acid, 2-(methoxyimino)- RT6.55182	Propanoic acid, 2-(methoxyimino)- RT6.55182	1	metabolite-metabolite	1
unknown RT 7.034156	unknown RT 7.034156	1	metabolite-metabolite	1
unknown RT 17.941004	unknown RT 7.034156	0.868211718277314	metabolite-metabolite	0.868211718277314
unknown RT 18.973435	unknown RT 7.034156	0.967974550648877	metabolite-metabolite	0.967974550648877
unknown RT 5.349937	unknown RT 7.600111	0.883093832310466	metabolite-metabolite	0.883093832310466
unknown RT 7.600111	unknown RT 7.600111	1	metabolite-metabolite	1
Sugar RT14.65062	unknown RT 7.600111	0.860782641446103	metabolite-metabolite	0.860782641446103
