GeneID1	GeneID2	PCC_mild	feature_type	PCC_mild_abs
ALB	F2	0.290074065930353	protein-protein	0.290074065930353
ALB	AGT	-0.100108823064004	protein-protein	0.100108823064004
F7	AGT	0.213098581465106	protein-protein	0.213098581465106
ALB	AMBP	-0.259033120155365	protein-protein	0.259033120155365
ALB	F2	0.290074065930353	protein-protein	0.290074065930353
ALB	AGT	-0.100108823064004	protein-protein	0.100108823064004
APOC2	AMBP	0.134858816074446	protein-protein	0.134858816074446
APOC2	ALB	-0.367258038170172	protein-protein	0.367258038170172
ALB	F2	0.290074065930353	protein-protein	0.290074065930353
ALB	F2	0.290074065930353	protein-protein	0.290074065930353
FCN2	F2	0.283474413358228	protein-protein	0.283474413358228
F7	F2	0.383829281855049	protein-protein	0.383829281855049
ELANE	AGT	0.165998307585915	protein-protein	0.165998307585915
APOE	ANPEP	0.320796063453749	protein-protein	0.320796063453749
ALB	ANPEP	-0.110271730912388	protein-protein	0.110271730912388
ALB	AGT	-0.100108823064004	protein-protein	0.100108823064004
FCN2	F2	0.283474413358228	protein-protein	0.283474413358228
ICAM1	APOE	0.195374412601138	protein-protein	0.195374412601138
F7	F2	0.383829281855049	protein-protein	0.383829281855049
F7	AGT	0.213098581465106	protein-protein	0.213098581465106
ALB	AMBP	-0.259033120155365	protein-protein	0.259033120155365
APOC2	AMBP	0.134858816074446	protein-protein	0.134858816074446
APOC2	ALB	-0.367258038170172	protein-protein	0.367258038170172
F7	AMBP	0.187827154897404	protein-protein	0.187827154897404
F7	AGT	0.213098581465106	protein-protein	0.213098581465106
ALB	AMBP	-0.259033120155365	protein-protein	0.259033120155365
APOC2	AMBP	0.134858816074446	protein-protein	0.134858816074446
APOC2	ALB	-0.367258038170172	protein-protein	0.367258038170172
F7	AMBP	0.187827154897404	protein-protein	0.187827154897404
ALB	AMBP	-0.259033120155365	protein-protein	0.259033120155365
ALB	F2	0.290074065930353	protein-protein	0.290074065930353
APOC2	ALB	-0.367258038170172	protein-protein	0.367258038170172
F7	F2	0.383829281855049	protein-protein	0.383829281855049
F7	F2	0.383829281855049	protein-protein	0.383829281855049
ALB	AMBP	-0.259033120155365	protein-protein	0.259033120155365
ALB	AMBP	-0.259033120155365	protein-protein	0.259033120155365
