GeneID1	GeneID2	PCC_severe	feature_type	PCC_severe_abs
F2	AMBP	0.114977852501093	protein-protein	0.114977852501093
AGT	F2	0.121682188963368	protein-protein	0.121682188963368
ALB	F2	0.426842745112042	protein-protein	0.426842745112042
ALB	AGT	-0.116200606140433	protein-protein	0.116200606140433
F7	AGT	0.108097213089652	protein-protein	0.108097213089652
F7	FCN2	-0.230103470752667	protein-protein	0.230103470752667
F2	AMBP	0.114977852501093	protein-protein	0.114977852501093
F2	ANPEP	-0.18142492243143	protein-protein	0.18142492243143
AGT	AMBP	0.123325905679591	protein-protein	0.123325905679591
AGT	F2	0.121682188963368	protein-protein	0.121682188963368
ALB	F2	0.426842745112042	protein-protein	0.426842745112042
ALB	AGT	-0.116200606140433	protein-protein	0.116200606140433
APOC2	APOE	0.403343377770852	protein-protein	0.403343377770852
ALB	F2	0.426842745112042	protein-protein	0.426842745112042
APOC2	APOE	0.403343377770852	protein-protein	0.403343377770852
F2	AMBP	0.114977852501093	protein-protein	0.114977852501093
APOE	AGT	0.198680464235507	protein-protein	0.198680464235507
ALB	F2	0.426842745112042	protein-protein	0.426842745112042
F7	F2	0.494449819604502	protein-protein	0.494449819604502
F2	ANPEP	-0.18142492243143	protein-protein	0.18142492243143
AGT	AMBP	0.123325905679591	protein-protein	0.123325905679591
APOE	ANPEP	-0.1656266958084	protein-protein	0.1656266958084
ALB	ANPEP	-0.170685501280602	protein-protein	0.170685501280602
ALB	AGT	-0.116200606140433	protein-protein	0.116200606140433
APOC2	AGT	0.365022043884693	protein-protein	0.365022043884693
F2	AMBP	0.114977852501093	protein-protein	0.114977852501093
ICAM1	APOE	-0.221864075778899	protein-protein	0.221864075778899
F2	AMBP	0.114977852501093	protein-protein	0.114977852501093
AGT	AMBP	0.123325905679591	protein-protein	0.123325905679591
AGT	F2	0.121682188963368	protein-protein	0.121682188963368
F7	F2	0.494449819604502	protein-protein	0.494449819604502
F7	AGT	0.108097213089652	protein-protein	0.108097213089652
AGT	AMBP	0.123325905679591	protein-protein	0.123325905679591
APOE	AGT	0.198680464235507	protein-protein	0.198680464235507
APOC2	AGT	0.365022043884693	protein-protein	0.365022043884693
APOC2	APOE	0.403343377770852	protein-protein	0.403343377770852
F7	AMBP	0.278463815586871	protein-protein	0.278463815586871
F7	AGT	0.108097213089652	protein-protein	0.108097213089652
AGT	AMBP	0.123325905679591	protein-protein	0.123325905679591
ELANE	FCN2	-0.12513274887083	protein-protein	0.12513274887083
APOC2	AGT	0.365022043884693	protein-protein	0.365022043884693
APOC2	APOE	0.403343377770852	protein-protein	0.403343377770852
F7	AMBP	0.278463815586871	protein-protein	0.278463815586871
ALB	F2	0.426842745112042	protein-protein	0.426842745112042
AGT	F2	0.121682188963368	protein-protein	0.121682188963368
APOC2	APOE	0.403343377770852	protein-protein	0.403343377770852
F7	F2	0.494449819604502	protein-protein	0.494449819604502
AGT	F2	0.121682188963368	protein-protein	0.121682188963368
APOC2	APOE	0.403343377770852	protein-protein	0.403343377770852
F7	F2	0.494449819604502	protein-protein	0.494449819604502
APOC2	APOE	0.403343377770852	protein-protein	0.403343377770852
F2	AMBP	0.114977852501093	protein-protein	0.114977852501093
ELANE	F2	-0.203423427711227	protein-protein	0.203423427711227
F7	F2	0.494449819604502	protein-protein	0.494449819604502
MB	LTF	-0.218949547157467	protein-protein	0.218949547157467
TTR	PLG	0.418468202582226	protein-protein	0.418468202582226
NCAM1	PROS1	0.379547245742561	protein-protein	0.379547245742561
KNG1	PLG	0.20925947600779	protein-protein	0.20925947600779
KNG1	TTR	0.495714313321113	protein-protein	0.495714313321113
SERPINF2	PLG	-0.1632839304402	protein-protein	0.1632839304402
SERPINF2	TTR	-0.345790169280375	protein-protein	0.345790169280375
SERPINA5	TTR	0.559403594830553	protein-protein	0.559403594830553
B2M	LTF	0.254685474745542	protein-protein	0.254685474745542
B2M	FCGR3A	0.302945083051108	protein-protein	0.302945083051108
B2M	HLA-C	0.2112935069225	protein-protein	0.2112935069225
C4BPB	C5	0.204229260742228	protein-protein	0.204229260742228
C4BPB	B2M	0.42991476174554	protein-protein	0.42991476174554
HLA-A	HLA-B	0.327968083638721	protein-protein	0.327968083638721
B2M	HLA-C	0.2112935069225	protein-protein	0.2112935069225
PLG	PROS1	-0.428113061187587	protein-protein	0.428113061187587
PLG	C3	0.17397969258827	protein-protein	0.17397969258827
TTR	PLG	0.418468202582226	protein-protein	0.418468202582226
KNG1	PLG	0.20925947600779	protein-protein	0.20925947600779
KNG1	TTR	0.495714313321113	protein-protein	0.495714313321113
SERPINF2	PLG	-0.1632839304402	protein-protein	0.1632839304402
F10	SERPINF2	0.21326547045084	protein-protein	0.21326547045084
HLA-A	HLA-B	0.327968083638721	protein-protein	0.327968083638721
C5	PROS1	0.387978974644774	protein-protein	0.387978974644774
C5	C3	-0.256949691293529	protein-protein	0.256949691293529
C5	TTR	0.139946873981526	protein-protein	0.139946873981526
C5	SERPINF2	0.310830045520619	protein-protein	0.310830045520619
CD14	PLG	-0.253196570370734	protein-protein	0.253196570370734
CD14	SERPINF2	0.364657663898649	protein-protein	0.364657663898649
B2M	HLA-C	0.2112935069225	protein-protein	0.2112935069225
B2M	CD14	0.218821774033499	protein-protein	0.218821774033499
AGT	C3	-0.159507978789932	protein-protein	0.159507978789932
AGT	PLG	-0.268678196119771	protein-protein	0.268678196119771
AGT	F10	0.300069824723477	protein-protein	0.300069824723477
AGT	C5	0.370837026195356	protein-protein	0.370837026195356
C4BPB	TTR	-0.158152865159268	protein-protein	0.158152865159268
C4BPB	C5	0.204229260742228	protein-protein	0.204229260742228
C5	F10	0.339687416821844	protein-protein	0.339687416821844
LYZ	B2M	0.665178750192232	protein-protein	0.665178750192232
SERPINF2	PLG	-0.1632839304402	protein-protein	0.1632839304402
HLA-A	HLA-B	0.327968083638721	protein-protein	0.327968083638721
HLA-A	C3	0.397746795882867	protein-protein	0.397746795882867
NCAM1	MB	-0.101827721492038	protein-protein	0.101827721492038
KNG1	PLG	0.20925947600779	protein-protein	0.20925947600779
SERPINF2	PLG	-0.1632839304402	protein-protein	0.1632839304402
HLA-A	HLA-B	0.327968083638721	protein-protein	0.327968083638721
C5	SERPINF2	0.310830045520619	protein-protein	0.310830045520619
B2M	HLA-C	0.2112935069225	protein-protein	0.2112935069225
AGT	PLG	-0.268678196119771	protein-protein	0.268678196119771
AGT	SERPINF2	0.373691802049088	protein-protein	0.373691802049088
