ChemicalName	InferenceGeneSymbol
10-methyl-3-(6-methylpyridin-3-yl)-9,10,11,12-tetrahydro-8H-(1,4)diazepino(5',6'-4,5)thieno(3,2-f)quinolin-8-one	CXCL8
10-methyl-3-(6-methylpyridin-3-yl)-9,10,11,12-tetrahydro-8H-(1,4)diazepino(5',6'-4,5)thieno(3,2-f)quinolin-8-one	IL1B
10-methyl-3-(6-methylpyridin-3-yl)-9,10,11,12-tetrahydro-8H-(1,4)diazepino(5',6'-4,5)thieno(3,2-f)quinolin-8-one	TNF
10-nitro-oleic acid	TNF
1,10-phenanthroline	CXCL8
1,10-phenanthroline	SELE
1,12-benzoperylene	CXCL8
1,12-benzoperylene	IL6
1,12-benzoperylene	TMEM106B
1,12-benzoperylene	TMPRSS2
1,12-benzoperylene	TNF
1-(1-acetyl-piperidine-4-yl)-3-adamantan-1-yl-urea	IL6
1,1-bis(3'-indolyl)-1-(4-chlorophenyl)methane	CCL2
1,1-bis(3'-indolyl)-1-(4-trifluoromethylphenyl)methane	TNF
11-dehydrocorticosterone	IL6
11-deoxyprostaglandin E1	TNF
1,1-dimethylbutyl-1-deoxy-Delta(9)-THC	IL10
1,1-dimethylbutyl-1-deoxy-Delta(9)-THC	IL1B
1,1-dimethylbutyl-1-deoxy-Delta(9)-THC	IL6
1,1-dimethylbutyl-1-deoxy-Delta(9)-THC	TNF
11-hydroxyandrostenedione	AGT
1-((1-O-octadecyl-2-O-methylglycero)phospho)-3-deoxy-myo-inositol	IL1B
1-(2-(1-adamantyl)ethyl)-1-pentyl-3-(3-(4-pyridyl)propyl)urea	IL10
1-(2-(1-adamantyl)ethyl)-1-pentyl-3-(3-(4-pyridyl)propyl)urea	IL1B
1-(2-(1-adamantyl)ethyl)-1-pentyl-3-(3-(4-pyridyl)propyl)urea	TNF
1-(2-(3,4-dichlorophenyl)ethyl)-4-methylpiperazine	CCL2
1-(2-(3,4-dichlorophenyl)ethyl)-4-methylpiperazine	IL1B
1-(2-(3,4-dichlorophenyl)ethyl)-4-methylpiperazine	IL6
1-(2-(3,4-dichlorophenyl)ethyl)-4-methylpiperazine	TNF
1,2,3,4-tetrahydroisoquinoline	IL6
12-(3-adamantan-1-ylureido)dodecanoic acid	AGT
12-(3-adamantan-1-ylureido)dodecanoic acid	IL10
12-(3-adamantan-1-ylureido)dodecanoic acid	IL1B
12-(3-adamantan-1-ylureido)dodecanoic acid	TNF
1,2,3-trichloropropane	CXCL8
1,2,3-trichloropropane	TNF
1,24-dihydroxyvitamin D2	TNF
1,2,5,6-dibenzanthracene	CCR2
1,2,5,6-dibenzanthracene	UGCG
1,25-dihydroxyvitamin D	CXCL8
1,25-dihydroxyvitamin D	IL10
1,25-dihydroxyvitamin D	IL6
12-acetoxyhawtriwaic acid lactone	TNF
1,2-bis(2-aminophenoxy)ethane-N,N,N',N'-tetraacetic acid	AGT
1,2-bis(2-aminophenoxy)ethane-N,N,N',N'-tetraacetic acid	IL1B
1,2-bis(2-aminophenoxy)ethane-N,N,N',N'-tetraacetic acid	TNF
1,2-bis(2-aminophenoxy)ethane N,N,N',N'-tetraacetic acid acetoxymethyl ester	CCL2
1,2-bis(2-aminophenoxy)ethane N,N,N',N'-tetraacetic acid acetoxymethyl ester	CXCL8
1,2-bis(2-aminophenoxy)ethane N,N,N',N'-tetraacetic acid acetoxymethyl ester	IL1B
1,2-bis(2-aminophenoxy)ethane N,N,N',N'-tetraacetic acid acetoxymethyl ester	IL6
1,2-bis(2-aminophenoxy)ethane N,N,N',N'-tetraacetic acid acetoxymethyl ester	TNF
1-(2-bromophenyl)-3-(7-cyano-3H-benzotriazol-4-yl)urea	AGT
1-(2-bromophenyl)-3-(7-cyano-3H-benzotriazol-4-yl)urea	IL1B
1-(2-bromophenyl)-3-(7-cyano-3H-benzotriazol-4-yl)urea	IL6
1-(2-bromophenyl)-3-(7-cyano-3H-benzotriazol-4-yl)urea	TNF
1-(2-chlorobenzyl)-5'-phenyl-3'H-spiro(indoline-3,2'-(1,3,4)thiadiazol)-2-one	MUC1
1-(2-cyano-3,12-dioxooleana-1,9-dien-28-oyl) imidazole	CXCL8
1-(2-cyano-3,12-dioxooleana-1,9-dien-28-oyl) imidazole	IL6
1-(2-cyano-3,12-dioxooleana-1,9-dien-28-oyl) imidazole	TMPRSS2
1-(2-cyano-3,12-dioxooleana-1,9-dien-28-oyl) imidazole	TNF
12-dehydrogingerdione	IL6
1,2-diamino-4-nitrobenzene	IL2RA
1,2-dibromo-2,4-dicyanobutane	CXCL8
1,2-dibromo-2,4-dicyanobutane	IL1B
1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane	ABO
1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane	BCL11A
1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane	CXCL8
1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane	IL1B
1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane	IL6
1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane	PLSCR1
1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane	TNF
