0,1,2,3
ABCB1,https://www.ncbi.nlm.nih.gov/nuccore/NM_000927,CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2
ABCB1,https://www.ncbi.nlm.nih.gov/nuccore/NM_000927,IL7R,https://www.ncbi.nlm.nih.gov/nuccore/NM_002185
ABCB1,https://www.ncbi.nlm.nih.gov/nuccore/NM_000927,IL6R,https://www.ncbi.nlm.nih.gov/nuccore/NM_000565
ADM,https://www.ncbi.nlm.nih.gov/nuccore/NM_001124,CXCL1,https://www.ncbi.nlm.nih.gov/nuccore/NM_001511
ANXA2,https://www.ncbi.nlm.nih.gov/nuccore/NM_001002857,IL7R,https://www.ncbi.nlm.nih.gov/nuccore/NM_002185
APOE,https://www.ncbi.nlm.nih.gov/nuccore/NM_000041,CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2
ATP6AP2,https://www.ncbi.nlm.nih.gov/nuccore/NM_005765,CXCL1,https://www.ncbi.nlm.nih.gov/nuccore/NM_001511
B2M,https://www.ncbi.nlm.nih.gov/nuccore/NM_004048_2,CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2
B2M,https://www.ncbi.nlm.nih.gov/nuccore/NM_004048_2,IL7R,https://www.ncbi.nlm.nih.gov/nuccore/NM_002185
B2M,https://www.ncbi.nlm.nih.gov/nuccore/NM_004048_2,IL6R,https://www.ncbi.nlm.nih.gov/nuccore/NM_000565
C4BPB,https://www.ncbi.nlm.nih.gov/nuccore/NM_000716,IL6R,https://www.ncbi.nlm.nih.gov/nuccore/NM_000565
CA1,https://www.ncbi.nlm.nih.gov/nuccore/NM_001128829,CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2
CA2,https://www.ncbi.nlm.nih.gov/nuccore/NM_000067,CXCL1,https://www.ncbi.nlm.nih.gov/nuccore/NM_001511
CASP8,https://www.ncbi.nlm.nih.gov/nuccore/NM_001080124,IL7R,https://www.ncbi.nlm.nih.gov/nuccore/NM_002185
CCL11,,CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2
CCL11,,CXCL1,https://www.ncbi.nlm.nih.gov/nuccore/NM_001511
CCL2,https://www.ncbi.nlm.nih.gov/nuccore/NM_002982,IL6,https://www.ncbi.nlm.nih.gov/nuccore/NM_000600
CCL2,https://www.ncbi.nlm.nih.gov/nuccore/NM_002982,CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2
CCL2,https://www.ncbi.nlm.nih.gov/nuccore/NM_002982,IL7R,https://www.ncbi.nlm.nih.gov/nuccore/NM_002185
CCL2,https://www.ncbi.nlm.nih.gov/nuccore/NM_002982,CXCL1,https://www.ncbi.nlm.nih.gov/nuccore/NM_001511
CCL20,https://www.ncbi.nlm.nih.gov/nuccore/NM_001130046,CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2
CCL20,https://www.ncbi.nlm.nih.gov/nuccore/NM_001130046,CXCL1,https://www.ncbi.nlm.nih.gov/nuccore/NM_001511
CCL3,https://www.ncbi.nlm.nih.gov/nuccore/NM_002983_2,IL6,https://www.ncbi.nlm.nih.gov/nuccore/NM_000600
CCL3,https://www.ncbi.nlm.nih.gov/nuccore/NM_002983_2,CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,SOD2,https://www.ncbi.nlm.nih.gov/nuccore/NM_000636
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,IL6,https://www.ncbi.nlm.nih.gov/nuccore/NM_000600
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,IL1A,https://www.ncbi.nlm.nih.gov/nuccore/NM_000575
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,TNF,https://www.ncbi.nlm.nih.gov/nuccore/NM_000594_2
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,CXCL8,https://www.ncbi.nlm.nih.gov/nuccore/NM_000584
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,IFNG,https://www.ncbi.nlm.nih.gov/nuccore/NM_000619
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,CD4,https://www.ncbi.nlm.nih.gov/nuccore/NM_000616
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,IL10RA,https://www.ncbi.nlm.nih.gov/nuccore/NM_001558
